sample_name	condition
SRR1947493_GSM1646961_M375-none-4_Homo_sapiens_RNA-Seq	none
SRR1947491_GSM1646959_M373-GC-18_Homo_sapiens_RNA-Seq	GC
SRR1947489_GSM1646957_M372-none-4_Homo_sapiens_RNA-Seq	none
SRR1947500_GSM1646968_M377-GC-18_Homo_sapiens_RNA-Seq	GC
SRR1947507_GSM1646975_M374-none-48_Homo_sapiens_RNA-Seq	none
SRR1947512_GSM1646980_M376-none-48_Homo_sapiens_RNA-Seq	none
SRR1947524_GSM1646992_M376-GC-4_Homo_sapiens_RNA-Seq	GC
SRR1947519_GSM1646987_M372-GC-4_Homo_sapiens_RNA-Seq	GC
SRR1947525_GSM1646993_M377-GC-48_Homo_sapiens_RNA-Seq	GC
SRR1947532_GSM1647000_M372-GC-48_Homo_sapiens_RNA-Seq	GC
SRR1947540_GSM1647008_M376-GC-18_Homo_sapiens_RNA-Seq	GC
SRR1947544_GSM1647012_M375-none-18_Homo_sapiens_RNA-Seq	none
SRR1947545_GSM1647013_M373-none-18_Homo_sapiens_RNA-Seq	none
SRR1947546_GSM1647014_M372-GC-18_Homo_sapiens_RNA-Seq	GC
SRR1947553_GSM1647021_M376-GC-48_Homo_sapiens_RNA-Seq	GC
SRR1947554_GSM1647022_M374-GC-48_Homo_sapiens_RNA-Seq	GC
SRR1947557_GSM1647025_M375-none-48_Homo_sapiens_RNA-Seq	none
SRR1947556_GSM1647024_M372-none-48_Homo_sapiens_RNA-Seq	none
SRR1947570_GSM1647038_M374-none-4_Homo_sapiens_RNA-Seq	none
SRR1947569_GSM1647037_M376-none-4_Homo_sapiens_RNA-Seq	none
SRR1947577_GSM1647045_M374-GC-18_Homo_sapiens_RNA-Seq	GC
SRR1947581_GSM1647049_M377-none-48_Homo_sapiens_RNA-Seq	none
SRR1947583_GSM1647051_M375-GC-18_Homo_sapiens_RNA-Seq	GC
SRR1947584_GSM1647052_M373-none-48_Homo_sapiens_RNA-Seq	none
SRR1947590_GSM1647058_M372-none-18_Homo_sapiens_RNA-Seq	none
SRR1947596_GSM1647064_M377-none-18_Homo_sapiens_RNA-Seq	none
SRR1947598_GSM1647066_M376-none-18_Homo_sapiens_RNA-Seq	none
SRR1947602_GSM1647070_M374-GC-4_Homo_sapiens_RNA-Seq	GC
SRR1947605_GSM1647073_M374-none-18_Homo_sapiens_RNA-Seq	none
SRR1947606_GSM1647074_M375-GC-4_Homo_sapiens_RNA-Seq	GC
SRR1947615_GSM1647083_M373-none-4_Homo_sapiens_RNA-Seq	none
SRR1947619_GSM1647087_M377-none-4_Homo_sapiens_RNA-Seq	none
SRR1947627_GSM1647095_M377-GC-4_Homo_sapiens_RNA-Seq	GC
SRR1947631_GSM1647099_M373-GC-4_Homo_sapiens_RNA-Seq	GC
SRR1947638_GSM1647106_M373-GC-48_Homo_sapiens_RNA-Seq	GC
