sample_name	condition
SRR1947493_GSM1646961_M375-none-4_Homo_sapiens_RNA-Seq	none
SRR1947489_GSM1646957_M372-none-4_Homo_sapiens_RNA-Seq	none
SRR1947497_GSM1646965_M377-Yers-18_Homo_sapiens_RNA-Seq	Yers
SRR1947502_GSM1646970_M372-Yers-18_Homo_sapiens_RNA-Seq	Yers
SRR1947507_GSM1646975_M374-none-48_Homo_sapiens_RNA-Seq	none
SRR1947509_GSM1646977_M374-Yers-4_Homo_sapiens_RNA-Seq	Yers
SRR1947512_GSM1646980_M376-none-48_Homo_sapiens_RNA-Seq	none
SRR1947521_GSM1646989_M377-Yers-4_Homo_sapiens_RNA-Seq	Yers
SRR1947527_GSM1646995_M375-Yers-48_Homo_sapiens_RNA-Seq	Yers
SRR1947534_GSM1647002_M373-Yers-48_Homo_sapiens_RNA-Seq	Yers
SRR1947544_GSM1647012_M375-none-18_Homo_sapiens_RNA-Seq	none
SRR1947545_GSM1647013_M373-none-18_Homo_sapiens_RNA-Seq	none
SRR1947557_GSM1647025_M375-none-48_Homo_sapiens_RNA-Seq	none
SRR1947556_GSM1647024_M372-none-48_Homo_sapiens_RNA-Seq	none
SRR1947564_GSM1647032_M372-Yers-48_Homo_sapiens_RNA-Seq	Yers
SRR1947568_GSM1647036_M377-Yers-48_Homo_sapiens_RNA-Seq	Yers
SRR1947570_GSM1647038_M374-none-4_Homo_sapiens_RNA-Seq	none
SRR1947569_GSM1647037_M376-none-4_Homo_sapiens_RNA-Seq	none
SRR1947581_GSM1647049_M377-none-48_Homo_sapiens_RNA-Seq	none
SRR1947584_GSM1647052_M373-none-48_Homo_sapiens_RNA-Seq	none
SRR1947590_GSM1647058_M372-none-18_Homo_sapiens_RNA-Seq	none
SRR1947596_GSM1647064_M377-none-18_Homo_sapiens_RNA-Seq	none
SRR1947598_GSM1647066_M376-none-18_Homo_sapiens_RNA-Seq	none
SRR1947605_GSM1647073_M374-none-18_Homo_sapiens_RNA-Seq	none
SRR1947611_GSM1647079_M373-Yers-4_Homo_sapiens_RNA-Seq	Yers
SRR1947614_GSM1647082_M375-Yers-4_Homo_sapiens_RNA-Seq	Yers
SRR1947615_GSM1647083_M373-none-4_Homo_sapiens_RNA-Seq	none
SRR1947619_GSM1647087_M377-none-4_Homo_sapiens_RNA-Seq	none
SRR1947621_GSM1647089_M374-Yers-48_Homo_sapiens_RNA-Seq	Yers
SRR1947626_GSM1647094_M376-Yers-48_Homo_sapiens_RNA-Seq	Yers
SRR1947634_GSM1647102_M374-Yers-18_Homo_sapiens_RNA-Seq	Yers
SRR1947637_GSM1647105_M372-Yers-4_Homo_sapiens_RNA-Seq	Yers
SRR1947643_GSM1647111_M376-Yers-18_Homo_sapiens_RNA-Seq	Yers
SRR1947644_GSM1647112_M376-Yers-4_Homo_sapiens_RNA-Seq	Yers
