sample_name	condition
SRR945382_GSM1198555_mK1_Mus_musculus_RNA-Seq	kidney
SRR945384_GSM1198556_mK2_Mus_musculus_RNA-Seq	kidney
SRR945383_GSM1198555_mK1_Mus_musculus_RNA-Seq	kidney
SRR945387_GSM1198557_mK3_Mus_musculus_RNA-Seq	kidney
SRR945385_GSM1198556_mK2_Mus_musculus_RNA-Seq	kidney
SRR945386_GSM1198557_mK3_Mus_musculus_RNA-Seq	kidney
SRR945389_GSM1198558_mK4_Mus_musculus_RNA-Seq	kidney
SRR945388_GSM1198558_mK4_Mus_musculus_RNA-Seq	kidney
SRR945390_GSM1198559_mK5_Mus_musculus_RNA-Seq	kidney
SRR945391_GSM1198559_mK5_Mus_musculus_RNA-Seq	kidney
SRR945394_GSM1198561_mP1_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945393_GSM1198560_mK6_Mus_musculus_RNA-Seq	kidney
SRR945395_GSM1198561_mP1_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945396_GSM1198562_mP2_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945392_GSM1198560_mK6_Mus_musculus_RNA-Seq	kidney
SRR945400_GSM1198564_mP4_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945397_GSM1198562_mP2_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945398_GSM1198563_mP3_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945399_GSM1198563_mP3_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945402_GSM1198565_mP5_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945401_GSM1198564_mP4_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945403_GSM1198565_mP5_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945405_GSM1198566_mP6_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945404_GSM1198566_mP6_Mus_musculus_RNA-Seq	prefrontal_cortex
