sample_name	condition
SRR945264_GSM1198496_cK2_Pan_troglodytes_RNA-Seq	kidney
SRR945263_GSM1198495_cK1_Pan_troglodytes_RNA-Seq	kidney
SRR945265_GSM1198496_cK2_Pan_troglodytes_RNA-Seq	kidney
SRR945262_GSM1198495_cK1_Pan_troglodytes_RNA-Seq	kidney
SRR945267_GSM1198497_cK3_Pan_troglodytes_RNA-Seq	kidney
SRR945266_GSM1198497_cK3_Pan_troglodytes_RNA-Seq	kidney
SRR945269_GSM1198498_cK4_Pan_troglodytes_RNA-Seq	kidney
SRR945268_GSM1198498_cK4_Pan_troglodytes_RNA-Seq	kidney
SRR945270_GSM1198499_cK5_Pan_troglodytes_RNA-Seq	kidney
SRR945271_GSM1198499_cK5_Pan_troglodytes_RNA-Seq	kidney
SRR945273_GSM1198500_cK6_Pan_troglodytes_RNA-Seq	kidney
SRR945272_GSM1198500_cK6_Pan_troglodytes_RNA-Seq	kidney
SRR945300_GSM1198514_cC2_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945301_GSM1198514_cC2_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945299_GSM1198513_cC1_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945302_GSM1198515_cC3_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945298_GSM1198513_cC1_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945303_GSM1198515_cC3_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945304_GSM1198516_cC4_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945306_GSM1198517_cC5_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945305_GSM1198516_cC4_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945307_GSM1198517_cC5_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945308_GSM1198518_cC6_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945309_GSM1198518_cC6_Pan_troglodytes_RNA-Seq	cerebellar_cortex
