sample_name	condition
SRR945310_GSM1198519_rM1_Macaca_mulatta_RNA-Seq	muscle
SRR945311_GSM1198519_rM1_Macaca_mulatta_RNA-Seq	muscle
SRR945313_GSM1198520_rM2_Macaca_mulatta_RNA-Seq	muscle
SRR945312_GSM1198520_rM2_Macaca_mulatta_RNA-Seq	muscle
SRR945314_GSM1198521_rM3_Macaca_mulatta_RNA-Seq	muscle
SRR945315_GSM1198521_rM3_Macaca_mulatta_RNA-Seq	muscle
SRR945318_GSM1198523_rM5_Macaca_mulatta_RNA-Seq	muscle
SRR945316_GSM1198522_rM4_Macaca_mulatta_RNA-Seq	muscle
SRR945317_GSM1198522_rM4_Macaca_mulatta_RNA-Seq	muscle
SRR945320_GSM1198524_rM6_Macaca_mulatta_RNA-Seq	muscle
SRR945319_GSM1198523_rM5_Macaca_mulatta_RNA-Seq	muscle
SRR945321_GSM1198524_rM6_Macaca_mulatta_RNA-Seq	muscle
SRR945324_GSM1198526_rK2_Macaca_mulatta_RNA-Seq	kidney
SRR945322_GSM1198525_rK1_Macaca_mulatta_RNA-Seq	kidney
SRR945323_GSM1198525_rK1_Macaca_mulatta_RNA-Seq	kidney
SRR945325_GSM1198526_rK2_Macaca_mulatta_RNA-Seq	kidney
SRR945326_GSM1198527_rK3_Macaca_mulatta_RNA-Seq	kidney
SRR945327_GSM1198527_rK3_Macaca_mulatta_RNA-Seq	kidney
SRR945330_GSM1198529_rK5_Macaca_mulatta_RNA-Seq	kidney
SRR945329_GSM1198528_rK4_Macaca_mulatta_RNA-Seq	kidney
SRR945328_GSM1198528_rK4_Macaca_mulatta_RNA-Seq	kidney
SRR945332_GSM1198530_rK6_Macaca_mulatta_RNA-Seq	kidney
SRR945331_GSM1198529_rK5_Macaca_mulatta_RNA-Seq	kidney
SRR945333_GSM1198530_rK6_Macaca_mulatta_RNA-Seq	kidney
