sample_name	condition
SRR945382_GSM1198555_mK1_Mus_musculus_RNA-Seq	kidney
SRR945384_GSM1198556_mK2_Mus_musculus_RNA-Seq	kidney
SRR945383_GSM1198555_mK1_Mus_musculus_RNA-Seq	kidney
SRR945387_GSM1198557_mK3_Mus_musculus_RNA-Seq	kidney
SRR945385_GSM1198556_mK2_Mus_musculus_RNA-Seq	kidney
SRR945386_GSM1198557_mK3_Mus_musculus_RNA-Seq	kidney
SRR945389_GSM1198558_mK4_Mus_musculus_RNA-Seq	kidney
SRR945388_GSM1198558_mK4_Mus_musculus_RNA-Seq	kidney
SRR945390_GSM1198559_mK5_Mus_musculus_RNA-Seq	kidney
SRR945391_GSM1198559_mK5_Mus_musculus_RNA-Seq	kidney
SRR945393_GSM1198560_mK6_Mus_musculus_RNA-Seq	kidney
SRR945392_GSM1198560_mK6_Mus_musculus_RNA-Seq	kidney
SRR945407_GSM1198567_mV1_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945406_GSM1198567_mV1_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945408_GSM1198568_mV2_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945412_GSM1198570_mV4_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945411_GSM1198569_mV3_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945410_GSM1198569_mV3_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945409_GSM1198568_mV2_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945413_GSM1198570_mV4_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945414_GSM1198571_mV5_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945417_GSM1198572_mV6_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945415_GSM1198571_mV5_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945416_GSM1198572_mV6_Mus_musculus_RNA-Seq	primary_visual_cortex
