sample_name	condition
SRR945253_GSM1198490_cM2_Pan_troglodytes_RNA-Seq	muscle
SRR945250_GSM1198489_cM1_Pan_troglodytes_RNA-Seq	muscle
SRR945252_GSM1198490_cM2_Pan_troglodytes_RNA-Seq	muscle
SRR945251_GSM1198489_cM1_Pan_troglodytes_RNA-Seq	muscle
SRR945254_GSM1198491_cM3_Pan_troglodytes_RNA-Seq	muscle
SRR945255_GSM1198491_cM3_Pan_troglodytes_RNA-Seq	muscle
SRR945258_GSM1198493_cM5_Pan_troglodytes_RNA-Seq	muscle
SRR945257_GSM1198492_cM4_Pan_troglodytes_RNA-Seq	muscle
SRR945256_GSM1198492_cM4_Pan_troglodytes_RNA-Seq	muscle
SRR945259_GSM1198493_cM5_Pan_troglodytes_RNA-Seq	muscle
SRR945260_GSM1198494_cM6_Pan_troglodytes_RNA-Seq	muscle
SRR945261_GSM1198494_cM6_Pan_troglodytes_RNA-Seq	muscle
SRR945274_GSM1198501_cP1_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945275_GSM1198501_cP1_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945277_GSM1198502_cP2_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945276_GSM1198502_cP2_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945279_GSM1198503_cP3_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945278_GSM1198503_cP3_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945283_GSM1198505_cP5_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945281_GSM1198504_cP4_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945282_GSM1198505_cP5_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945285_GSM1198506_cP6_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945280_GSM1198504_cP4_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945284_GSM1198506_cP6_Pan_troglodytes_RNA-Seq	prefrontal_cortex
