sample_name	condition
SRR945334_GSM1198531_rP1_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945337_GSM1198532_rP2_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945335_GSM1198531_rP1_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945338_GSM1198533_rP3_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945336_GSM1198532_rP2_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945339_GSM1198533_rP3_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945340_GSM1198534_rP4_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945341_GSM1198534_rP4_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945342_GSM1198535_rP5_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945343_GSM1198535_rP5_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945344_GSM1198536_rP6_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945345_GSM1198536_rP6_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945358_GSM1198543_rC1_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945359_GSM1198543_rC1_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945360_GSM1198544_rC2_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945361_GSM1198544_rC2_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945363_GSM1198545_rC3_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945362_GSM1198545_rC3_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945364_GSM1198546_rC4_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945365_GSM1198546_rC4_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945366_GSM1198547_rC5_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945369_GSM1198548_rC6_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945367_GSM1198547_rC5_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945368_GSM1198548_rC6_Macaca_mulatta_RNA-Seq	cerebellar_cortex
