sample_name	condition
SRR945310_GSM1198519_rM1_Macaca_mulatta_RNA-Seq	muscle
SRR945311_GSM1198519_rM1_Macaca_mulatta_RNA-Seq	muscle
SRR945313_GSM1198520_rM2_Macaca_mulatta_RNA-Seq	muscle
SRR945312_GSM1198520_rM2_Macaca_mulatta_RNA-Seq	muscle
SRR945314_GSM1198521_rM3_Macaca_mulatta_RNA-Seq	muscle
SRR945315_GSM1198521_rM3_Macaca_mulatta_RNA-Seq	muscle
SRR945318_GSM1198523_rM5_Macaca_mulatta_RNA-Seq	muscle
SRR945316_GSM1198522_rM4_Macaca_mulatta_RNA-Seq	muscle
SRR945317_GSM1198522_rM4_Macaca_mulatta_RNA-Seq	muscle
SRR945320_GSM1198524_rM6_Macaca_mulatta_RNA-Seq	muscle
SRR945319_GSM1198523_rM5_Macaca_mulatta_RNA-Seq	muscle
SRR945321_GSM1198524_rM6_Macaca_mulatta_RNA-Seq	muscle
SRR945348_GSM1198538_rV2_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945346_GSM1198537_rV1_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945349_GSM1198538_rV2_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945347_GSM1198537_rV1_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945350_GSM1198539_rV3_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945351_GSM1198539_rV3_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945353_GSM1198540_rV4_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945352_GSM1198540_rV4_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945355_GSM1198541_rV5_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945354_GSM1198541_rV5_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945357_GSM1198542_rV6_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945356_GSM1198542_rV6_Macaca_mulatta_RNA-Seq	primary_visual_cortex
