sample_name	condition
SRR1725922_GSM1565955_DC_MTB_rep1_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725925_GSM1565955_DC_MTB_rep1_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725924_GSM1565955_DC_MTB_rep1_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725927_GSM1565956_DC_NI_rep1_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725923_GSM1565955_DC_MTB_rep1_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725928_GSM1565956_DC_NI_rep1_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725929_GSM1565956_DC_NI_rep1_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725930_GSM1565957_DC_MTB_rep2_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725931_GSM1565957_DC_MTB_rep2_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725932_GSM1565957_DC_MTB_rep2_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725933_GSM1565957_DC_MTB_rep2_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725934_GSM1565958_DC_NI_rep2_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725935_GSM1565958_DC_NI_rep2_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725936_GSM1565958_DC_NI_rep2_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725938_GSM1565959_DC_MTB_rep3_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725937_GSM1565958_DC_NI_rep2_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725939_GSM1565959_DC_MTB_rep3_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725940_GSM1565959_DC_MTB_rep3_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725941_GSM1565959_DC_MTB_rep3_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725942_GSM1565960_DC_NI_rep3_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725943_GSM1565960_DC_NI_rep3_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725944_GSM1565960_DC_NI_rep3_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725945_GSM1565960_DC_NI_rep3_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725946_GSM1565961_DC_MTB_rep4_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725948_GSM1565961_DC_MTB_rep4_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725949_GSM1565961_DC_MTB_rep4_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725950_GSM1565962_DC_NI_rep4_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725951_GSM1565962_DC_NI_rep4_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725952_GSM1565962_DC_NI_rep4_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725953_GSM1565962_DC_NI_rep4_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725954_GSM1565963_DC_MTB_rep5_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725955_GSM1565963_DC_MTB_rep5_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725956_GSM1565963_DC_MTB_rep5_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725957_GSM1565963_DC_MTB_rep5_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725958_GSM1565964_DC_NI_rep5_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725959_GSM1565964_DC_NI_rep5_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725960_GSM1565964_DC_NI_rep5_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725961_GSM1565964_DC_NI_rep5_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725962_GSM1565965_DC_MTB_rep6_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725963_GSM1565965_DC_MTB_rep6_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725964_GSM1565965_DC_MTB_rep6_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725965_GSM1565965_DC_MTB_rep6_RNA-Seq_Homo_sapiens_RNA-Seq	MTB
SRR1725966_GSM1565966_DC_NI_rep6_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725968_GSM1565966_DC_NI_rep6_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725967_GSM1565966_DC_NI_rep6_RNA-Seq_Homo_sapiens_RNA-Seq	NI
SRR1725969_GSM1565966_DC_NI_rep6_RNA-Seq_Homo_sapiens_RNA-Seq	NI
