sample_name	condition
SRR1947493_GSM1646961_M375-none-4_Homo_sapiens_RNA-Seq	none
SRR1947489_GSM1646957_M372-none-4_Homo_sapiens_RNA-Seq	none
SRR1947492_GSM1646960_M374-BCG-48_Homo_sapiens_RNA-Seq	BCG
SRR1947505_GSM1646973_M376-BCG-18_Homo_sapiens_RNA-Seq	BCG
SRR1947501_GSM1646969_M372-BCG-18_Homo_sapiens_RNA-Seq	BCG
SRR1947507_GSM1646975_M374-none-48_Homo_sapiens_RNA-Seq	none
SRR1947512_GSM1646980_M376-none-48_Homo_sapiens_RNA-Seq	none
SRR1947528_GSM1646996_M375-BCG-4_Homo_sapiens_RNA-Seq	BCG
SRR1947535_GSM1647003_M372-BCG-4_Homo_sapiens_RNA-Seq	BCG
SRR1947538_GSM1647006_M376-BCG-48_Homo_sapiens_RNA-Seq	BCG
SRR1947544_GSM1647012_M375-none-18_Homo_sapiens_RNA-Seq	none
SRR1947545_GSM1647013_M373-none-18_Homo_sapiens_RNA-Seq	none
SRR1947548_GSM1647016_M372-BCG-48_Homo_sapiens_RNA-Seq	BCG
SRR1947557_GSM1647025_M375-none-48_Homo_sapiens_RNA-Seq	none
SRR1947556_GSM1647024_M372-none-48_Homo_sapiens_RNA-Seq	none
SRR1947570_GSM1647038_M374-none-4_Homo_sapiens_RNA-Seq	none
SRR1947569_GSM1647037_M376-none-4_Homo_sapiens_RNA-Seq	none
SRR1947572_GSM1647040_M375-BCG-48_Homo_sapiens_RNA-Seq	BCG
SRR1947571_GSM1647039_M373-BCG-48_Homo_sapiens_RNA-Seq	BCG
SRR1947581_GSM1647049_M377-none-48_Homo_sapiens_RNA-Seq	none
SRR1947584_GSM1647052_M373-none-48_Homo_sapiens_RNA-Seq	none
SRR1947587_GSM1647055_M374-BCG-4_Homo_sapiens_RNA-Seq	BCG
SRR1947590_GSM1647058_M372-none-18_Homo_sapiens_RNA-Seq	none
SRR1947592_GSM1647060_M377-BCG-4_Homo_sapiens_RNA-Seq	BCG
SRR1947596_GSM1647064_M377-none-18_Homo_sapiens_RNA-Seq	none
SRR1947598_GSM1647066_M376-none-18_Homo_sapiens_RNA-Seq	none
SRR1947599_GSM1647067_M374-BCG-18_Homo_sapiens_RNA-Seq	BCG
SRR1947604_GSM1647072_M377-BCG-18_Homo_sapiens_RNA-Seq	BCG
SRR1947605_GSM1647073_M374-none-18_Homo_sapiens_RNA-Seq	none
SRR1947615_GSM1647083_M373-none-4_Homo_sapiens_RNA-Seq	none
SRR1947619_GSM1647087_M377-none-4_Homo_sapiens_RNA-Seq	none
SRR1947625_GSM1647093_M373-BCG-4_Homo_sapiens_RNA-Seq	BCG
SRR1947629_GSM1647097_M376-BCG-4_Homo_sapiens_RNA-Seq	BCG
SRR1947635_GSM1647103_M373-BCG-18_Homo_sapiens_RNA-Seq	BCG
SRR1947640_GSM1647108_M375-BCG-18_Homo_sapiens_RNA-Seq	BCG
