sample_name	condition
SRR945286_GSM1198507_cV1_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945288_GSM1198508_cV2_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945287_GSM1198507_cV1_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945289_GSM1198508_cV2_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945290_GSM1198509_cV3_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945291_GSM1198509_cV3_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945292_GSM1198510_cV4_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945294_GSM1198511_cV5_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945293_GSM1198510_cV4_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945295_GSM1198511_cV5_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945296_GSM1198512_cV6_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945297_GSM1198512_cV6_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945300_GSM1198514_cC2_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945301_GSM1198514_cC2_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945299_GSM1198513_cC1_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945302_GSM1198515_cC3_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945298_GSM1198513_cC1_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945303_GSM1198515_cC3_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945304_GSM1198516_cC4_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945306_GSM1198517_cC5_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945305_GSM1198516_cC4_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945307_GSM1198517_cC5_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945308_GSM1198518_cC6_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945309_GSM1198518_cC6_Pan_troglodytes_RNA-Seq	cerebellar_cortex
