sample_name	condition
SRR945370_GSM1198549_mM1_Mus_musculus_RNA-Seq	muscle
SRR945371_GSM1198549_mM1_Mus_musculus_RNA-Seq	muscle
SRR945372_GSM1198550_mM2_Mus_musculus_RNA-Seq	muscle
SRR945373_GSM1198550_mM2_Mus_musculus_RNA-Seq	muscle
SRR945376_GSM1198552_mM4_Mus_musculus_RNA-Seq	muscle
SRR945375_GSM1198551_mM3_Mus_musculus_RNA-Seq	muscle
SRR945374_GSM1198551_mM3_Mus_musculus_RNA-Seq	muscle
SRR945377_GSM1198552_mM4_Mus_musculus_RNA-Seq	muscle
SRR945380_GSM1198554_mM6_Mus_musculus_RNA-Seq	muscle
SRR945381_GSM1198554_mM6_Mus_musculus_RNA-Seq	muscle
SRR945382_GSM1198555_mK1_Mus_musculus_RNA-Seq	kidney
SRR945384_GSM1198556_mK2_Mus_musculus_RNA-Seq	kidney
SRR945383_GSM1198555_mK1_Mus_musculus_RNA-Seq	kidney
SRR945387_GSM1198557_mK3_Mus_musculus_RNA-Seq	kidney
SRR945385_GSM1198556_mK2_Mus_musculus_RNA-Seq	kidney
SRR945386_GSM1198557_mK3_Mus_musculus_RNA-Seq	kidney
SRR945389_GSM1198558_mK4_Mus_musculus_RNA-Seq	kidney
SRR945388_GSM1198558_mK4_Mus_musculus_RNA-Seq	kidney
SRR945390_GSM1198559_mK5_Mus_musculus_RNA-Seq	kidney
SRR945391_GSM1198559_mK5_Mus_musculus_RNA-Seq	kidney
SRR945393_GSM1198560_mK6_Mus_musculus_RNA-Seq	kidney
SRR945392_GSM1198560_mK6_Mus_musculus_RNA-Seq	kidney
