sample_name	condition
SRR945274_GSM1198501_cP1_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945275_GSM1198501_cP1_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945277_GSM1198502_cP2_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945276_GSM1198502_cP2_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945279_GSM1198503_cP3_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945278_GSM1198503_cP3_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945283_GSM1198505_cP5_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945281_GSM1198504_cP4_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945282_GSM1198505_cP5_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945285_GSM1198506_cP6_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945280_GSM1198504_cP4_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945284_GSM1198506_cP6_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945300_GSM1198514_cC2_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945301_GSM1198514_cC2_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945299_GSM1198513_cC1_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945302_GSM1198515_cC3_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945298_GSM1198513_cC1_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945303_GSM1198515_cC3_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945304_GSM1198516_cC4_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945306_GSM1198517_cC5_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945305_GSM1198516_cC4_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945307_GSM1198517_cC5_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945308_GSM1198518_cC6_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945309_GSM1198518_cC6_Pan_troglodytes_RNA-Seq	cerebellar_cortex
