sample_name	condition
SRR1947493_GSM1646961_M375-none-4_Homo_sapiens_RNA-Seq	none
SRR1947489_GSM1646957_M372-none-4_Homo_sapiens_RNA-Seq	none
SRR1947504_GSM1646972_M377-Rv_-48_Homo_sapiens_RNA-Seq	Rv_
SRR1947503_GSM1646971_M373-Rv_-48_Homo_sapiens_RNA-Seq	Rv_
SRR1947507_GSM1646975_M374-none-48_Homo_sapiens_RNA-Seq	none
SRR1947512_GSM1646980_M376-none-48_Homo_sapiens_RNA-Seq	none
SRR1947518_GSM1646986_M376-Rv_-48_Homo_sapiens_RNA-Seq	Rv_
SRR1947515_GSM1646983_M372-Rv_-48_Homo_sapiens_RNA-Seq	Rv_
SRR1947537_GSM1647005_M375-Rv_-4_Homo_sapiens_RNA-Seq	Rv_
SRR1947544_GSM1647012_M375-none-18_Homo_sapiens_RNA-Seq	none
SRR1947545_GSM1647013_M373-none-18_Homo_sapiens_RNA-Seq	none
SRR1947547_GSM1647015_M374-Rv_-4_Homo_sapiens_RNA-Seq	Rv_
SRR1947549_GSM1647017_M377-Rv_-4_Homo_sapiens_RNA-Seq	Rv_
SRR1947557_GSM1647025_M375-none-48_Homo_sapiens_RNA-Seq	none
SRR1947556_GSM1647024_M372-none-48_Homo_sapiens_RNA-Seq	none
SRR1947558_GSM1647026_M373-Rv_-4_Homo_sapiens_RNA-Seq	Rv_
SRR1947562_GSM1647030_M377-Rv_-18_Homo_sapiens_RNA-Seq	Rv_
SRR1947567_GSM1647035_M373-Rv_-18_Homo_sapiens_RNA-Seq	Rv_
SRR1947570_GSM1647038_M374-none-4_Homo_sapiens_RNA-Seq	none
SRR1947569_GSM1647037_M376-none-4_Homo_sapiens_RNA-Seq	none
SRR1947581_GSM1647049_M377-none-48_Homo_sapiens_RNA-Seq	none
SRR1947584_GSM1647052_M373-none-48_Homo_sapiens_RNA-Seq	none
SRR1947588_GSM1647056_M375-Rv_-48_Homo_sapiens_RNA-Seq	Rv_
SRR1947590_GSM1647058_M372-none-18_Homo_sapiens_RNA-Seq	none
SRR1947594_GSM1647062_M374-Rv_-48_Homo_sapiens_RNA-Seq	Rv_
SRR1947596_GSM1647064_M377-none-18_Homo_sapiens_RNA-Seq	none
SRR1947598_GSM1647066_M376-none-18_Homo_sapiens_RNA-Seq	none
SRR1947600_GSM1647068_M376-Rv_-4_Homo_sapiens_RNA-Seq	Rv_
SRR1947605_GSM1647073_M374-none-18_Homo_sapiens_RNA-Seq	none
SRR1947608_GSM1647076_M372-Rv_-4_Homo_sapiens_RNA-Seq	Rv_
SRR1947609_GSM1647077_M375-Rv_-18_Homo_sapiens_RNA-Seq	Rv_
SRR1947615_GSM1647083_M373-none-4_Homo_sapiens_RNA-Seq	none
SRR1947619_GSM1647087_M377-none-4_Homo_sapiens_RNA-Seq	none
SRR1947620_GSM1647088_M374-Rv_-18_Homo_sapiens_RNA-Seq	Rv_
SRR1947628_GSM1647096_M376-Rv_-18_Homo_sapiens_RNA-Seq	Rv_
SRR1947632_GSM1647100_M372-Rv_-18_Homo_sapiens_RNA-Seq	Rv_
