sample_name	condition
SRR945370_GSM1198549_mM1_Mus_musculus_RNA-Seq	muscle
SRR945371_GSM1198549_mM1_Mus_musculus_RNA-Seq	muscle
SRR945372_GSM1198550_mM2_Mus_musculus_RNA-Seq	muscle
SRR945373_GSM1198550_mM2_Mus_musculus_RNA-Seq	muscle
SRR945376_GSM1198552_mM4_Mus_musculus_RNA-Seq	muscle
SRR945375_GSM1198551_mM3_Mus_musculus_RNA-Seq	muscle
SRR945374_GSM1198551_mM3_Mus_musculus_RNA-Seq	muscle
SRR945377_GSM1198552_mM4_Mus_musculus_RNA-Seq	muscle
SRR945380_GSM1198554_mM6_Mus_musculus_RNA-Seq	muscle
SRR945381_GSM1198554_mM6_Mus_musculus_RNA-Seq	muscle
SRR945394_GSM1198561_mP1_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945395_GSM1198561_mP1_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945396_GSM1198562_mP2_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945400_GSM1198564_mP4_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945397_GSM1198562_mP2_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945398_GSM1198563_mP3_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945399_GSM1198563_mP3_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945402_GSM1198565_mP5_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945401_GSM1198564_mP4_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945403_GSM1198565_mP5_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945405_GSM1198566_mP6_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945404_GSM1198566_mP6_Mus_musculus_RNA-Seq	prefrontal_cortex
