sample_name	condition
SRR945194_GSM1198461_hM3_Homo_sapiens_RNA-Seq	muscle
SRR945190_GSM1198459_hM1_Homo_sapiens_RNA-Seq	muscle
SRR945192_GSM1198460_hM2_Homo_sapiens_RNA-Seq	muscle
SRR945193_GSM1198460_hM2_Homo_sapiens_RNA-Seq	muscle
SRR945191_GSM1198459_hM1_Homo_sapiens_RNA-Seq	muscle
SRR945195_GSM1198461_hM3_Homo_sapiens_RNA-Seq	muscle
SRR945199_GSM1198463_hM5_Homo_sapiens_RNA-Seq	muscle
SRR945198_GSM1198463_hM5_Homo_sapiens_RNA-Seq	muscle
SRR945196_GSM1198462_hM4_Homo_sapiens_RNA-Seq	muscle
SRR945197_GSM1198462_hM4_Homo_sapiens_RNA-Seq	muscle
SRR945227_GSM1198477_hV1_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945226_GSM1198477_hV1_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945228_GSM1198478_hV2_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945229_GSM1198478_hV2_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945230_GSM1198479_hV3_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945231_GSM1198479_hV3_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945233_GSM1198480_hV4_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945232_GSM1198480_hV4_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945236_GSM1198482_hV6_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945234_GSM1198481_hV5_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945235_GSM1198481_hV5_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945237_GSM1198482_hV6_Homo_sapiens_RNA-Seq	primary_visual_cortex
