Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
ERR315473	HPA RNA-seq normal tissues	Illumina HiSeq 2000	49436	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315473/ERR315473.sra	ERR315473.sra	ERR315473_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315473/ERR315473_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315473/ERR315473_1.fastq.gz	ERR315473_1.fastq.gz	ERR315473_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315473	HPA RNA-seq normal tissues	Illumina HiSeq 2000	49436	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315473/ERR315473.sra	ERR315473.sra	ERR315473_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315473/ERR315473_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315473/ERR315473_2.fastq.gz	ERR315473_2.fastq.gz	ERR315473_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315488	HPA RNA-seq normal tissues	Illumina HiSeq 2000	23967	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315488/ERR315488.sra	ERR315488.sra	ERR315488_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315488/ERR315488_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315488/ERR315488_1.fastq.gz	ERR315488_1.fastq.gz	ERR315488_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315488	HPA RNA-seq normal tissues	Illumina HiSeq 2000	23967	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315488/ERR315488.sra	ERR315488.sra	ERR315488_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315488/ERR315488_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315488/ERR315488_2.fastq.gz	ERR315488_2.fastq.gz	ERR315488_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315330	HPA RNA-seq normal tissues	Illumina HiSeq 2000	21893	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315330/ERR315330.sra	ERR315330.sra	ERR315330_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315330/ERR315330_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315330/ERR315330_1.fastq.gz	ERR315330_1.fastq.gz	ERR315330_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315330	HPA RNA-seq normal tissues	Illumina HiSeq 2000	21893	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315330/ERR315330.sra	ERR315330.sra	ERR315330_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315330/ERR315330_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315330/ERR315330_2.fastq.gz	ERR315330_2.fastq.gz	ERR315330_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315337	HPA RNA-seq normal tissues	Illumina HiSeq 2000	44743	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315337/ERR315337.sra	ERR315337.sra	ERR315337_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315337/ERR315337_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315337/ERR315337_1.fastq.gz	ERR315337_1.fastq.gz	ERR315337_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315337	HPA RNA-seq normal tissues	Illumina HiSeq 2000	44743	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315337/ERR315337.sra	ERR315337.sra	ERR315337_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315337/ERR315337_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315337/ERR315337_2.fastq.gz	ERR315337_2.fastq.gz	ERR315337_HPA_RNA-seq_normal_tissues_2.fastq.gz
ERR315391	HPA RNA-seq normal tissues	Illumina HiSeq 2000	78795	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315391/ERR315391.sra	ERR315391.sra	ERR315391_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315391/ERR315391_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315391/ERR315391_1.fastq.gz	ERR315391_1.fastq.gz	ERR315391_HPA_RNA-seq_normal_tissues_1.fastq.gz
ERR315391	HPA RNA-seq normal tissues	Illumina HiSeq 2000	78795	1386777600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR315/ERR315391/ERR315391.sra	ERR315391.sra	ERR315391_HPA_RNA-seq_normal_tissues.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315391/ERR315391_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR315/ERR315391/ERR315391_2.fastq.gz	ERR315391_2.fastq.gz	ERR315391_HPA_RNA-seq_normal_tissues_2.fastq.gz
