sample_name	condition
SRR945264_GSM1198496_cK2_Pan_troglodytes_RNA-Seq	kidney
SRR945263_GSM1198495_cK1_Pan_troglodytes_RNA-Seq	kidney
SRR945265_GSM1198496_cK2_Pan_troglodytes_RNA-Seq	kidney
SRR945262_GSM1198495_cK1_Pan_troglodytes_RNA-Seq	kidney
SRR945267_GSM1198497_cK3_Pan_troglodytes_RNA-Seq	kidney
SRR945266_GSM1198497_cK3_Pan_troglodytes_RNA-Seq	kidney
SRR945269_GSM1198498_cK4_Pan_troglodytes_RNA-Seq	kidney
SRR945268_GSM1198498_cK4_Pan_troglodytes_RNA-Seq	kidney
SRR945270_GSM1198499_cK5_Pan_troglodytes_RNA-Seq	kidney
SRR945271_GSM1198499_cK5_Pan_troglodytes_RNA-Seq	kidney
SRR945273_GSM1198500_cK6_Pan_troglodytes_RNA-Seq	kidney
SRR945272_GSM1198500_cK6_Pan_troglodytes_RNA-Seq	kidney
SRR945286_GSM1198507_cV1_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945288_GSM1198508_cV2_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945287_GSM1198507_cV1_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945289_GSM1198508_cV2_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945290_GSM1198509_cV3_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945291_GSM1198509_cV3_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945292_GSM1198510_cV4_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945294_GSM1198511_cV5_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945293_GSM1198510_cV4_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945295_GSM1198511_cV5_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945296_GSM1198512_cV6_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945297_GSM1198512_cV6_Pan_troglodytes_RNA-Seq	primary_visual_cortex
