sample_name	condition
SRR945214_GSM1198471_hP1_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945215_GSM1198471_hP1_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945216_GSM1198472_hP2_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945217_GSM1198472_hP2_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945219_GSM1198473_hP3_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945218_GSM1198473_hP3_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945220_GSM1198474_hP4_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945221_GSM1198474_hP4_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945223_GSM1198475_hP5_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945224_GSM1198476_hP6_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945222_GSM1198475_hP5_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945225_GSM1198476_hP6_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945227_GSM1198477_hV1_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945226_GSM1198477_hV1_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945228_GSM1198478_hV2_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945229_GSM1198478_hV2_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945230_GSM1198479_hV3_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945231_GSM1198479_hV3_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945233_GSM1198480_hV4_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945232_GSM1198480_hV4_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945236_GSM1198482_hV6_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945234_GSM1198481_hV5_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945235_GSM1198481_hV5_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945237_GSM1198482_hV6_Homo_sapiens_RNA-Seq	primary_visual_cortex
