sample_name	condition
SRR945264_GSM1198496_cK2_Pan_troglodytes_RNA-Seq	kidney
SRR945263_GSM1198495_cK1_Pan_troglodytes_RNA-Seq	kidney
SRR945265_GSM1198496_cK2_Pan_troglodytes_RNA-Seq	kidney
SRR945262_GSM1198495_cK1_Pan_troglodytes_RNA-Seq	kidney
SRR945267_GSM1198497_cK3_Pan_troglodytes_RNA-Seq	kidney
SRR945266_GSM1198497_cK3_Pan_troglodytes_RNA-Seq	kidney
SRR945269_GSM1198498_cK4_Pan_troglodytes_RNA-Seq	kidney
SRR945268_GSM1198498_cK4_Pan_troglodytes_RNA-Seq	kidney
SRR945270_GSM1198499_cK5_Pan_troglodytes_RNA-Seq	kidney
SRR945271_GSM1198499_cK5_Pan_troglodytes_RNA-Seq	kidney
SRR945273_GSM1198500_cK6_Pan_troglodytes_RNA-Seq	kidney
SRR945272_GSM1198500_cK6_Pan_troglodytes_RNA-Seq	kidney
SRR945274_GSM1198501_cP1_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945275_GSM1198501_cP1_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945277_GSM1198502_cP2_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945276_GSM1198502_cP2_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945279_GSM1198503_cP3_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945278_GSM1198503_cP3_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945283_GSM1198505_cP5_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945281_GSM1198504_cP4_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945282_GSM1198505_cP5_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945285_GSM1198506_cP6_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945280_GSM1198504_cP4_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945284_GSM1198506_cP6_Pan_troglodytes_RNA-Seq	prefrontal_cortex
