sample_name	condition
SRR945253_GSM1198490_cM2_Pan_troglodytes_RNA-Seq	muscle
SRR945250_GSM1198489_cM1_Pan_troglodytes_RNA-Seq	muscle
SRR945252_GSM1198490_cM2_Pan_troglodytes_RNA-Seq	muscle
SRR945251_GSM1198489_cM1_Pan_troglodytes_RNA-Seq	muscle
SRR945254_GSM1198491_cM3_Pan_troglodytes_RNA-Seq	muscle
SRR945255_GSM1198491_cM3_Pan_troglodytes_RNA-Seq	muscle
SRR945258_GSM1198493_cM5_Pan_troglodytes_RNA-Seq	muscle
SRR945257_GSM1198492_cM4_Pan_troglodytes_RNA-Seq	muscle
SRR945256_GSM1198492_cM4_Pan_troglodytes_RNA-Seq	muscle
SRR945259_GSM1198493_cM5_Pan_troglodytes_RNA-Seq	muscle
SRR945260_GSM1198494_cM6_Pan_troglodytes_RNA-Seq	muscle
SRR945261_GSM1198494_cM6_Pan_troglodytes_RNA-Seq	muscle
SRR945264_GSM1198496_cK2_Pan_troglodytes_RNA-Seq	kidney
SRR945263_GSM1198495_cK1_Pan_troglodytes_RNA-Seq	kidney
SRR945265_GSM1198496_cK2_Pan_troglodytes_RNA-Seq	kidney
SRR945262_GSM1198495_cK1_Pan_troglodytes_RNA-Seq	kidney
SRR945267_GSM1198497_cK3_Pan_troglodytes_RNA-Seq	kidney
SRR945266_GSM1198497_cK3_Pan_troglodytes_RNA-Seq	kidney
SRR945269_GSM1198498_cK4_Pan_troglodytes_RNA-Seq	kidney
SRR945268_GSM1198498_cK4_Pan_troglodytes_RNA-Seq	kidney
SRR945270_GSM1198499_cK5_Pan_troglodytes_RNA-Seq	kidney
SRR945271_GSM1198499_cK5_Pan_troglodytes_RNA-Seq	kidney
SRR945273_GSM1198500_cK6_Pan_troglodytes_RNA-Seq	kidney
SRR945272_GSM1198500_cK6_Pan_troglodytes_RNA-Seq	kidney
