sample_name	condition
SRR945214_GSM1198471_hP1_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945215_GSM1198471_hP1_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945216_GSM1198472_hP2_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945217_GSM1198472_hP2_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945219_GSM1198473_hP3_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945218_GSM1198473_hP3_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945220_GSM1198474_hP4_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945221_GSM1198474_hP4_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945223_GSM1198475_hP5_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945224_GSM1198476_hP6_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945222_GSM1198475_hP5_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945225_GSM1198476_hP6_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945242_GSM1198485_hC3_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945238_GSM1198483_hC1_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945239_GSM1198483_hC1_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945240_GSM1198484_hC2_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945243_GSM1198485_hC3_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945241_GSM1198484_hC2_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945245_GSM1198486_hC4_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945246_GSM1198487_hC5_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945244_GSM1198486_hC4_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945247_GSM1198487_hC5_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945249_GSM1198488_hC6_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945248_GSM1198488_hC6_Homo_sapiens_RNA-Seq	cerebellar_cortex
