sample_name	condition
SRR945202_GSM1198465_hK1_Homo_sapiens_RNA-Seq	kidney
SRR945203_GSM1198465_hK1_Homo_sapiens_RNA-Seq	kidney
SRR945205_GSM1198466_hK2_Homo_sapiens_RNA-Seq	kidney
SRR945207_GSM1198467_hK3_Homo_sapiens_RNA-Seq	kidney
SRR945204_GSM1198466_hK2_Homo_sapiens_RNA-Seq	kidney
SRR945206_GSM1198467_hK3_Homo_sapiens_RNA-Seq	kidney
SRR945208_GSM1198468_hK4_Homo_sapiens_RNA-Seq	kidney
SRR945209_GSM1198468_hK4_Homo_sapiens_RNA-Seq	kidney
SRR945212_GSM1198470_hK6_Homo_sapiens_RNA-Seq	kidney
SRR945213_GSM1198470_hK6_Homo_sapiens_RNA-Seq	kidney
SRR945210_GSM1198469_hK5_Homo_sapiens_RNA-Seq	kidney
SRR945211_GSM1198469_hK5_Homo_sapiens_RNA-Seq	kidney
SRR945227_GSM1198477_hV1_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945226_GSM1198477_hV1_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945228_GSM1198478_hV2_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945229_GSM1198478_hV2_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945230_GSM1198479_hV3_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945231_GSM1198479_hV3_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945233_GSM1198480_hV4_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945232_GSM1198480_hV4_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945236_GSM1198482_hV6_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945234_GSM1198481_hV5_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945235_GSM1198481_hV5_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945237_GSM1198482_hV6_Homo_sapiens_RNA-Seq	primary_visual_cortex
