sample_name	condition
SRR1947493_GSM1646961_M375-none-4_Homo_sapiens_RNA-Seq	none
SRR1947489_GSM1646957_M372-none-4_Homo_sapiens_RNA-Seq	none
SRR1947507_GSM1646975_M374-none-48_Homo_sapiens_RNA-Seq	none
SRR1947510_GSM1646978_M377-Salm-4_Homo_sapiens_RNA-Seq	Salm
SRR1947512_GSM1646980_M376-none-48_Homo_sapiens_RNA-Seq	none
SRR1947516_GSM1646984_M375-Salm-48_Homo_sapiens_RNA-Seq	Salm
SRR1947514_GSM1646982_M373-Salm-48_Homo_sapiens_RNA-Seq	Salm
SRR1947517_GSM1646985_M374-Salm-4_Homo_sapiens_RNA-Seq	Salm
SRR1947526_GSM1646994_M377-Salm-18_Homo_sapiens_RNA-Seq	Salm
SRR1947533_GSM1647001_M373-Salm-18_Homo_sapiens_RNA-Seq	Salm
SRR1947544_GSM1647012_M375-none-18_Homo_sapiens_RNA-Seq	none
SRR1947545_GSM1647013_M373-none-18_Homo_sapiens_RNA-Seq	none
SRR1947551_GSM1647019_M376-Salm-4_Homo_sapiens_RNA-Seq	Salm
SRR1947557_GSM1647025_M375-none-48_Homo_sapiens_RNA-Seq	none
SRR1947556_GSM1647024_M372-none-48_Homo_sapiens_RNA-Seq	none
SRR1947560_GSM1647028_M373-Salm-4_Homo_sapiens_RNA-Seq	Salm
SRR1947561_GSM1647029_M372-Salm-18_Homo_sapiens_RNA-Seq	Salm
SRR1947566_GSM1647034_M376-Salm-18_Homo_sapiens_RNA-Seq	Salm
SRR1947570_GSM1647038_M374-none-4_Homo_sapiens_RNA-Seq	none
SRR1947569_GSM1647037_M376-none-4_Homo_sapiens_RNA-Seq	none
SRR1947576_GSM1647044_M372-Salm-4_Homo_sapiens_RNA-Seq	Salm
SRR1947579_GSM1647047_M375-Salm-4_Homo_sapiens_RNA-Seq	Salm
SRR1947581_GSM1647049_M377-none-48_Homo_sapiens_RNA-Seq	none
SRR1947584_GSM1647052_M373-none-48_Homo_sapiens_RNA-Seq	none
SRR1947586_GSM1647054_M376-Salm-48_Homo_sapiens_RNA-Seq	Salm
SRR1947590_GSM1647058_M372-none-18_Homo_sapiens_RNA-Seq	none
SRR1947591_GSM1647059_M374-Salm-48_Homo_sapiens_RNA-Seq	Salm
SRR1947596_GSM1647064_M377-none-18_Homo_sapiens_RNA-Seq	none
SRR1947598_GSM1647066_M376-none-18_Homo_sapiens_RNA-Seq	none
SRR1947605_GSM1647073_M374-none-18_Homo_sapiens_RNA-Seq	none
SRR1947612_GSM1647080_M377-Salm-48_Homo_sapiens_RNA-Seq	Salm
SRR1947615_GSM1647083_M373-none-4_Homo_sapiens_RNA-Seq	none
SRR1947617_GSM1647085_M372-Salm-48_Homo_sapiens_RNA-Seq	Salm
SRR1947619_GSM1647087_M377-none-4_Homo_sapiens_RNA-Seq	none
SRR1947624_GSM1647092_M375-Salm-18_Homo_sapiens_RNA-Seq	Salm
SRR1947630_GSM1647098_M374-Salm-18_Homo_sapiens_RNA-Seq	Salm
