sample_name	condition
SRR1947493_GSM1646961_M375-none-4_Homo_sapiens_RNA-Seq	none
SRR1947489_GSM1646957_M372-none-4_Homo_sapiens_RNA-Seq	none
SRR1947499_GSM1646967_M374-Rv-4_Homo_sapiens_RNA-Seq	Rv
SRR1947498_GSM1646966_M376-Rv-4_Homo_sapiens_RNA-Seq	Rv
SRR1947507_GSM1646975_M374-none-48_Homo_sapiens_RNA-Seq	none
SRR1947512_GSM1646980_M376-none-48_Homo_sapiens_RNA-Seq	none
SRR1947529_GSM1646997_M373-Rv-18_Homo_sapiens_RNA-Seq	Rv
SRR1947531_GSM1646999_M376-Rv-18_Homo_sapiens_RNA-Seq	Rv
SRR1947542_GSM1647010_M372-Rv-48_Homo_sapiens_RNA-Seq	Rv
SRR1947544_GSM1647012_M375-none-18_Homo_sapiens_RNA-Seq	none
SRR1947543_GSM1647011_M377-Rv-48_Homo_sapiens_RNA-Seq	Rv
SRR1947545_GSM1647013_M373-none-18_Homo_sapiens_RNA-Seq	none
SRR1947550_GSM1647018_M375-Rv-18_Homo_sapiens_RNA-Seq	Rv
SRR1947552_GSM1647020_M374-Rv-18_Homo_sapiens_RNA-Seq	Rv
SRR1947557_GSM1647025_M375-none-48_Homo_sapiens_RNA-Seq	none
SRR1947556_GSM1647024_M372-none-48_Homo_sapiens_RNA-Seq	none
SRR1947570_GSM1647038_M374-none-4_Homo_sapiens_RNA-Seq	none
SRR1947569_GSM1647037_M376-none-4_Homo_sapiens_RNA-Seq	none
SRR1947573_GSM1647041_M377-Rv-4_Homo_sapiens_RNA-Seq	Rv
SRR1947575_GSM1647043_M372-Rv-4_Homo_sapiens_RNA-Seq	Rv
SRR1947581_GSM1647049_M377-none-48_Homo_sapiens_RNA-Seq	none
SRR1947584_GSM1647052_M373-none-48_Homo_sapiens_RNA-Seq	none
SRR1947590_GSM1647058_M372-none-18_Homo_sapiens_RNA-Seq	none
SRR1947596_GSM1647064_M377-none-18_Homo_sapiens_RNA-Seq	none
SRR1947597_GSM1647065_M377-Rv-18_Homo_sapiens_RNA-Seq	Rv
SRR1947598_GSM1647066_M376-none-18_Homo_sapiens_RNA-Seq	none
SRR1947603_GSM1647071_M372-Rv-18_Homo_sapiens_RNA-Seq	Rv
SRR1947605_GSM1647073_M374-none-18_Homo_sapiens_RNA-Seq	none
SRR1947610_GSM1647078_M376-Rv-48_Homo_sapiens_RNA-Seq	Rv
SRR1947613_GSM1647081_M374-Rv-48_Homo_sapiens_RNA-Seq	Rv
SRR1947615_GSM1647083_M373-none-4_Homo_sapiens_RNA-Seq	none
SRR1947619_GSM1647087_M377-none-4_Homo_sapiens_RNA-Seq	none
SRR1947623_GSM1647091_M375-Rv-48_Homo_sapiens_RNA-Seq	Rv
SRR1947622_GSM1647090_M373-Rv-48_Homo_sapiens_RNA-Seq	Rv
SRR1947636_GSM1647104_M375-Rv-4_Homo_sapiens_RNA-Seq	Rv
SRR1947641_GSM1647109_M373-Rv-4_Homo_sapiens_RNA-Seq	Rv
