sample_name	condition
SRR945194_GSM1198461_hM3_Homo_sapiens_RNA-Seq	muscle
SRR945190_GSM1198459_hM1_Homo_sapiens_RNA-Seq	muscle
SRR945192_GSM1198460_hM2_Homo_sapiens_RNA-Seq	muscle
SRR945193_GSM1198460_hM2_Homo_sapiens_RNA-Seq	muscle
SRR945191_GSM1198459_hM1_Homo_sapiens_RNA-Seq	muscle
SRR945195_GSM1198461_hM3_Homo_sapiens_RNA-Seq	muscle
SRR945199_GSM1198463_hM5_Homo_sapiens_RNA-Seq	muscle
SRR945198_GSM1198463_hM5_Homo_sapiens_RNA-Seq	muscle
SRR945196_GSM1198462_hM4_Homo_sapiens_RNA-Seq	muscle
SRR945197_GSM1198462_hM4_Homo_sapiens_RNA-Seq	muscle
SRR945202_GSM1198465_hK1_Homo_sapiens_RNA-Seq	kidney
SRR945203_GSM1198465_hK1_Homo_sapiens_RNA-Seq	kidney
SRR945205_GSM1198466_hK2_Homo_sapiens_RNA-Seq	kidney
SRR945207_GSM1198467_hK3_Homo_sapiens_RNA-Seq	kidney
SRR945204_GSM1198466_hK2_Homo_sapiens_RNA-Seq	kidney
SRR945206_GSM1198467_hK3_Homo_sapiens_RNA-Seq	kidney
SRR945208_GSM1198468_hK4_Homo_sapiens_RNA-Seq	kidney
SRR945209_GSM1198468_hK4_Homo_sapiens_RNA-Seq	kidney
SRR945212_GSM1198470_hK6_Homo_sapiens_RNA-Seq	kidney
SRR945213_GSM1198470_hK6_Homo_sapiens_RNA-Seq	kidney
SRR945210_GSM1198469_hK5_Homo_sapiens_RNA-Seq	kidney
SRR945211_GSM1198469_hK5_Homo_sapiens_RNA-Seq	kidney
