sample_name	condition
SRR945202_GSM1198465_hK1_Homo_sapiens_RNA-Seq	kidney
SRR945203_GSM1198465_hK1_Homo_sapiens_RNA-Seq	kidney
SRR945205_GSM1198466_hK2_Homo_sapiens_RNA-Seq	kidney
SRR945207_GSM1198467_hK3_Homo_sapiens_RNA-Seq	kidney
SRR945204_GSM1198466_hK2_Homo_sapiens_RNA-Seq	kidney
SRR945206_GSM1198467_hK3_Homo_sapiens_RNA-Seq	kidney
SRR945208_GSM1198468_hK4_Homo_sapiens_RNA-Seq	kidney
SRR945209_GSM1198468_hK4_Homo_sapiens_RNA-Seq	kidney
SRR945212_GSM1198470_hK6_Homo_sapiens_RNA-Seq	kidney
SRR945213_GSM1198470_hK6_Homo_sapiens_RNA-Seq	kidney
SRR945210_GSM1198469_hK5_Homo_sapiens_RNA-Seq	kidney
SRR945211_GSM1198469_hK5_Homo_sapiens_RNA-Seq	kidney
SRR945214_GSM1198471_hP1_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945215_GSM1198471_hP1_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945216_GSM1198472_hP2_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945217_GSM1198472_hP2_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945219_GSM1198473_hP3_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945218_GSM1198473_hP3_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945220_GSM1198474_hP4_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945221_GSM1198474_hP4_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945223_GSM1198475_hP5_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945224_GSM1198476_hP6_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945222_GSM1198475_hP5_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945225_GSM1198476_hP6_Homo_sapiens_RNA-Seq	prefrontal_cortex
