sample_name	condition
SRR945394_GSM1198561_mP1_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945395_GSM1198561_mP1_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945396_GSM1198562_mP2_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945400_GSM1198564_mP4_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945397_GSM1198562_mP2_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945398_GSM1198563_mP3_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945399_GSM1198563_mP3_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945402_GSM1198565_mP5_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945401_GSM1198564_mP4_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945403_GSM1198565_mP5_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945405_GSM1198566_mP6_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945404_GSM1198566_mP6_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945418_GSM1198573_mC1_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945419_GSM1198573_mC1_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945422_GSM1198575_mC3_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945424_GSM1198576_mC4_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945423_GSM1198575_mC3_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945421_GSM1198574_mC2_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945420_GSM1198574_mC2_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945425_GSM1198576_mC4_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945427_GSM1198577_mC5_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945429_GSM1198578_mC6_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945428_GSM1198578_mC6_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945426_GSM1198577_mC5_Mus_musculus_RNA-Seq	cerebellar_cortex
