sample_name	condition
SRR945253_GSM1198490_cM2_Pan_troglodytes_RNA-Seq	muscle
SRR945250_GSM1198489_cM1_Pan_troglodytes_RNA-Seq	muscle
SRR945252_GSM1198490_cM2_Pan_troglodytes_RNA-Seq	muscle
SRR945251_GSM1198489_cM1_Pan_troglodytes_RNA-Seq	muscle
SRR945254_GSM1198491_cM3_Pan_troglodytes_RNA-Seq	muscle
SRR945255_GSM1198491_cM3_Pan_troglodytes_RNA-Seq	muscle
SRR945258_GSM1198493_cM5_Pan_troglodytes_RNA-Seq	muscle
SRR945257_GSM1198492_cM4_Pan_troglodytes_RNA-Seq	muscle
SRR945256_GSM1198492_cM4_Pan_troglodytes_RNA-Seq	muscle
SRR945259_GSM1198493_cM5_Pan_troglodytes_RNA-Seq	muscle
SRR945260_GSM1198494_cM6_Pan_troglodytes_RNA-Seq	muscle
SRR945261_GSM1198494_cM6_Pan_troglodytes_RNA-Seq	muscle
SRR945286_GSM1198507_cV1_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945288_GSM1198508_cV2_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945287_GSM1198507_cV1_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945289_GSM1198508_cV2_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945290_GSM1198509_cV3_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945291_GSM1198509_cV3_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945292_GSM1198510_cV4_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945294_GSM1198511_cV5_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945293_GSM1198510_cV4_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945295_GSM1198511_cV5_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945296_GSM1198512_cV6_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945297_GSM1198512_cV6_Pan_troglodytes_RNA-Seq	primary_visual_cortex
