sample_name	condition
SRR945310_GSM1198519_rM1_Macaca_mulatta_RNA-Seq	muscle
SRR945311_GSM1198519_rM1_Macaca_mulatta_RNA-Seq	muscle
SRR945313_GSM1198520_rM2_Macaca_mulatta_RNA-Seq	muscle
SRR945312_GSM1198520_rM2_Macaca_mulatta_RNA-Seq	muscle
SRR945314_GSM1198521_rM3_Macaca_mulatta_RNA-Seq	muscle
SRR945315_GSM1198521_rM3_Macaca_mulatta_RNA-Seq	muscle
SRR945318_GSM1198523_rM5_Macaca_mulatta_RNA-Seq	muscle
SRR945316_GSM1198522_rM4_Macaca_mulatta_RNA-Seq	muscle
SRR945317_GSM1198522_rM4_Macaca_mulatta_RNA-Seq	muscle
SRR945320_GSM1198524_rM6_Macaca_mulatta_RNA-Seq	muscle
SRR945319_GSM1198523_rM5_Macaca_mulatta_RNA-Seq	muscle
SRR945321_GSM1198524_rM6_Macaca_mulatta_RNA-Seq	muscle
SRR945334_GSM1198531_rP1_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945337_GSM1198532_rP2_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945335_GSM1198531_rP1_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945338_GSM1198533_rP3_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945336_GSM1198532_rP2_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945339_GSM1198533_rP3_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945340_GSM1198534_rP4_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945341_GSM1198534_rP4_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945342_GSM1198535_rP5_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945343_GSM1198535_rP5_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945344_GSM1198536_rP6_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945345_GSM1198536_rP6_Macaca_mulatta_RNA-Seq	prefrontal_cortex
