sample_name	condition
SRR945194_GSM1198461_hM3_Homo_sapiens_RNA-Seq	muscle
SRR945190_GSM1198459_hM1_Homo_sapiens_RNA-Seq	muscle
SRR945192_GSM1198460_hM2_Homo_sapiens_RNA-Seq	muscle
SRR945193_GSM1198460_hM2_Homo_sapiens_RNA-Seq	muscle
SRR945191_GSM1198459_hM1_Homo_sapiens_RNA-Seq	muscle
SRR945195_GSM1198461_hM3_Homo_sapiens_RNA-Seq	muscle
SRR945199_GSM1198463_hM5_Homo_sapiens_RNA-Seq	muscle
SRR945198_GSM1198463_hM5_Homo_sapiens_RNA-Seq	muscle
SRR945196_GSM1198462_hM4_Homo_sapiens_RNA-Seq	muscle
SRR945197_GSM1198462_hM4_Homo_sapiens_RNA-Seq	muscle
SRR945214_GSM1198471_hP1_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945215_GSM1198471_hP1_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945216_GSM1198472_hP2_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945217_GSM1198472_hP2_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945219_GSM1198473_hP3_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945218_GSM1198473_hP3_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945220_GSM1198474_hP4_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945221_GSM1198474_hP4_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945223_GSM1198475_hP5_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945224_GSM1198476_hP6_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945222_GSM1198475_hP5_Homo_sapiens_RNA-Seq	prefrontal_cortex
SRR945225_GSM1198476_hP6_Homo_sapiens_RNA-Seq	prefrontal_cortex
