sample_name	condition
SRR1947493_GSM1646961_M375-none-4_Homo_sapiens_RNA-Seq	none
SRR1947494_GSM1646962_M372-Smeg-48_Homo_sapiens_RNA-Seq	Smeg
SRR1947489_GSM1646957_M372-none-4_Homo_sapiens_RNA-Seq	none
SRR1947490_GSM1646958_M375-Smeg-48_Homo_sapiens_RNA-Seq	Smeg
SRR1947507_GSM1646975_M374-none-48_Homo_sapiens_RNA-Seq	none
SRR1947512_GSM1646980_M376-none-48_Homo_sapiens_RNA-Seq	none
SRR1947520_GSM1646988_M377-Smeg-18_Homo_sapiens_RNA-Seq	Smeg
SRR1947523_GSM1646991_M372-Smeg-18_Homo_sapiens_RNA-Seq	Smeg
SRR1947530_GSM1646998_M374-Smeg-4_Homo_sapiens_RNA-Seq	Smeg
SRR1947536_GSM1647004_M376-Smeg-4_Homo_sapiens_RNA-Seq	Smeg
SRR1947544_GSM1647012_M375-none-18_Homo_sapiens_RNA-Seq	none
SRR1947545_GSM1647013_M373-none-18_Homo_sapiens_RNA-Seq	none
SRR1947557_GSM1647025_M375-none-48_Homo_sapiens_RNA-Seq	none
SRR1947556_GSM1647024_M372-none-48_Homo_sapiens_RNA-Seq	none
SRR1947563_GSM1647031_M372-Smeg-4_Homo_sapiens_RNA-Seq	Smeg
SRR1947565_GSM1647033_M375-Smeg-4_Homo_sapiens_RNA-Seq	Smeg
SRR1947570_GSM1647038_M374-none-4_Homo_sapiens_RNA-Seq	none
SRR1947569_GSM1647037_M376-none-4_Homo_sapiens_RNA-Seq	none
SRR1947574_GSM1647042_M373-Smeg-48_Homo_sapiens_RNA-Seq	Smeg
SRR1947580_GSM1647048_M376-Smeg-48_Homo_sapiens_RNA-Seq	Smeg
SRR1947581_GSM1647049_M377-none-48_Homo_sapiens_RNA-Seq	none
SRR1947584_GSM1647052_M373-none-48_Homo_sapiens_RNA-Seq	none
SRR1947590_GSM1647058_M372-none-18_Homo_sapiens_RNA-Seq	none
SRR1947593_GSM1647061_M373-Smeg-18_Homo_sapiens_RNA-Seq	Smeg
SRR1947595_GSM1647063_M375-Smeg-18_Homo_sapiens_RNA-Seq	Smeg
SRR1947596_GSM1647064_M377-none-18_Homo_sapiens_RNA-Seq	none
SRR1947598_GSM1647066_M376-none-18_Homo_sapiens_RNA-Seq	none
SRR1947601_GSM1647069_M377-Smeg-48_Homo_sapiens_RNA-Seq	Smeg
SRR1947605_GSM1647073_M374-none-18_Homo_sapiens_RNA-Seq	none
SRR1947607_GSM1647075_M374-Smeg-48_Homo_sapiens_RNA-Seq	Smeg
SRR1947615_GSM1647083_M373-none-4_Homo_sapiens_RNA-Seq	none
SRR1947618_GSM1647086_M374-Smeg-18_Homo_sapiens_RNA-Seq	Smeg
SRR1947616_GSM1647084_M376-Smeg-18_Homo_sapiens_RNA-Seq	Smeg
SRR1947619_GSM1647087_M377-none-4_Homo_sapiens_RNA-Seq	none
SRR1947633_GSM1647101_M377-Smeg-4_Homo_sapiens_RNA-Seq	Smeg
SRR1947642_GSM1647110_M373-Smeg-4_Homo_sapiens_RNA-Seq	Smeg
