sample_name	condition
SRR945382_GSM1198555_mK1_Mus_musculus_RNA-Seq	kidney
SRR945384_GSM1198556_mK2_Mus_musculus_RNA-Seq	kidney
SRR945383_GSM1198555_mK1_Mus_musculus_RNA-Seq	kidney
SRR945387_GSM1198557_mK3_Mus_musculus_RNA-Seq	kidney
SRR945385_GSM1198556_mK2_Mus_musculus_RNA-Seq	kidney
SRR945386_GSM1198557_mK3_Mus_musculus_RNA-Seq	kidney
SRR945389_GSM1198558_mK4_Mus_musculus_RNA-Seq	kidney
SRR945388_GSM1198558_mK4_Mus_musculus_RNA-Seq	kidney
SRR945390_GSM1198559_mK5_Mus_musculus_RNA-Seq	kidney
SRR945391_GSM1198559_mK5_Mus_musculus_RNA-Seq	kidney
SRR945393_GSM1198560_mK6_Mus_musculus_RNA-Seq	kidney
SRR945392_GSM1198560_mK6_Mus_musculus_RNA-Seq	kidney
SRR945418_GSM1198573_mC1_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945419_GSM1198573_mC1_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945422_GSM1198575_mC3_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945424_GSM1198576_mC4_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945423_GSM1198575_mC3_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945421_GSM1198574_mC2_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945420_GSM1198574_mC2_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945425_GSM1198576_mC4_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945427_GSM1198577_mC5_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945429_GSM1198578_mC6_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945428_GSM1198578_mC6_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945426_GSM1198577_mC5_Mus_musculus_RNA-Seq	cerebellar_cortex
