sample_name	condition
SRR945324_GSM1198526_rK2_Macaca_mulatta_RNA-Seq	kidney
SRR945322_GSM1198525_rK1_Macaca_mulatta_RNA-Seq	kidney
SRR945323_GSM1198525_rK1_Macaca_mulatta_RNA-Seq	kidney
SRR945325_GSM1198526_rK2_Macaca_mulatta_RNA-Seq	kidney
SRR945326_GSM1198527_rK3_Macaca_mulatta_RNA-Seq	kidney
SRR945327_GSM1198527_rK3_Macaca_mulatta_RNA-Seq	kidney
SRR945330_GSM1198529_rK5_Macaca_mulatta_RNA-Seq	kidney
SRR945329_GSM1198528_rK4_Macaca_mulatta_RNA-Seq	kidney
SRR945328_GSM1198528_rK4_Macaca_mulatta_RNA-Seq	kidney
SRR945332_GSM1198530_rK6_Macaca_mulatta_RNA-Seq	kidney
SRR945331_GSM1198529_rK5_Macaca_mulatta_RNA-Seq	kidney
SRR945333_GSM1198530_rK6_Macaca_mulatta_RNA-Seq	kidney
SRR945334_GSM1198531_rP1_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945337_GSM1198532_rP2_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945335_GSM1198531_rP1_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945338_GSM1198533_rP3_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945336_GSM1198532_rP2_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945339_GSM1198533_rP3_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945340_GSM1198534_rP4_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945341_GSM1198534_rP4_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945342_GSM1198535_rP5_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945343_GSM1198535_rP5_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945344_GSM1198536_rP6_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945345_GSM1198536_rP6_Macaca_mulatta_RNA-Seq	prefrontal_cortex
