sample_name	condition
SRR945227_GSM1198477_hV1_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945226_GSM1198477_hV1_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945228_GSM1198478_hV2_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945229_GSM1198478_hV2_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945230_GSM1198479_hV3_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945231_GSM1198479_hV3_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945233_GSM1198480_hV4_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945232_GSM1198480_hV4_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945236_GSM1198482_hV6_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945234_GSM1198481_hV5_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945235_GSM1198481_hV5_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945237_GSM1198482_hV6_Homo_sapiens_RNA-Seq	primary_visual_cortex
SRR945242_GSM1198485_hC3_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945238_GSM1198483_hC1_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945239_GSM1198483_hC1_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945240_GSM1198484_hC2_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945243_GSM1198485_hC3_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945241_GSM1198484_hC2_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945245_GSM1198486_hC4_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945246_GSM1198487_hC5_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945244_GSM1198486_hC4_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945247_GSM1198487_hC5_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945249_GSM1198488_hC6_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945248_GSM1198488_hC6_Homo_sapiens_RNA-Seq	cerebellar_cortex
