sample_name	condition
SRR945310_GSM1198519_rM1_Macaca_mulatta_RNA-Seq	muscle
SRR945311_GSM1198519_rM1_Macaca_mulatta_RNA-Seq	muscle
SRR945313_GSM1198520_rM2_Macaca_mulatta_RNA-Seq	muscle
SRR945312_GSM1198520_rM2_Macaca_mulatta_RNA-Seq	muscle
SRR945314_GSM1198521_rM3_Macaca_mulatta_RNA-Seq	muscle
SRR945315_GSM1198521_rM3_Macaca_mulatta_RNA-Seq	muscle
SRR945318_GSM1198523_rM5_Macaca_mulatta_RNA-Seq	muscle
SRR945316_GSM1198522_rM4_Macaca_mulatta_RNA-Seq	muscle
SRR945317_GSM1198522_rM4_Macaca_mulatta_RNA-Seq	muscle
SRR945320_GSM1198524_rM6_Macaca_mulatta_RNA-Seq	muscle
SRR945319_GSM1198523_rM5_Macaca_mulatta_RNA-Seq	muscle
SRR945321_GSM1198524_rM6_Macaca_mulatta_RNA-Seq	muscle
SRR945358_GSM1198543_rC1_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945359_GSM1198543_rC1_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945360_GSM1198544_rC2_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945361_GSM1198544_rC2_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945363_GSM1198545_rC3_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945362_GSM1198545_rC3_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945364_GSM1198546_rC4_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945365_GSM1198546_rC4_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945366_GSM1198547_rC5_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945369_GSM1198548_rC6_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945367_GSM1198547_rC5_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945368_GSM1198548_rC6_Macaca_mulatta_RNA-Seq	cerebellar_cortex
