sample_name	condition
SRR945370_GSM1198549_mM1_Mus_musculus_RNA-Seq	muscle
SRR945371_GSM1198549_mM1_Mus_musculus_RNA-Seq	muscle
SRR945372_GSM1198550_mM2_Mus_musculus_RNA-Seq	muscle
SRR945373_GSM1198550_mM2_Mus_musculus_RNA-Seq	muscle
SRR945376_GSM1198552_mM4_Mus_musculus_RNA-Seq	muscle
SRR945375_GSM1198551_mM3_Mus_musculus_RNA-Seq	muscle
SRR945374_GSM1198551_mM3_Mus_musculus_RNA-Seq	muscle
SRR945377_GSM1198552_mM4_Mus_musculus_RNA-Seq	muscle
SRR945380_GSM1198554_mM6_Mus_musculus_RNA-Seq	muscle
SRR945381_GSM1198554_mM6_Mus_musculus_RNA-Seq	muscle
SRR945418_GSM1198573_mC1_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945419_GSM1198573_mC1_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945422_GSM1198575_mC3_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945424_GSM1198576_mC4_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945423_GSM1198575_mC3_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945421_GSM1198574_mC2_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945420_GSM1198574_mC2_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945425_GSM1198576_mC4_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945427_GSM1198577_mC5_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945429_GSM1198578_mC6_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945428_GSM1198578_mC6_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945426_GSM1198577_mC5_Mus_musculus_RNA-Seq	cerebellar_cortex
