sample_name	condition
SRR1686819_GSM1556699_WT1_Homo_sapiens_RNA-Seq	WT
SRR1686820_GSM1556699_WT1_Homo_sapiens_RNA-Seq	WT
SRR1686821_GSM1556700_WT2_Homo_sapiens_RNA-Seq	WT
SRR1686822_GSM1556700_WT2_Homo_sapiens_RNA-Seq	WT
SRR1686823_GSM1556701_WT3_Homo_sapiens_RNA-Seq	WT
SRR1686825_GSM1556701_WT3_Homo_sapiens_RNA-Seq	WT
SRR1686830_GSM1556704_AGS1_Homo_sapiens_RNA-Seq	AGS
SRR1686831_GSM1556704_AGS1_Homo_sapiens_RNA-Seq	AGS
SRR1686832_GSM1556705_AGS2_Homo_sapiens_RNA-Seq	AGS
SRR1686833_GSM1556705_AGS2_Homo_sapiens_RNA-Seq	AGS
