sample_name	condition
SRR945394_GSM1198561_mP1_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945395_GSM1198561_mP1_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945396_GSM1198562_mP2_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945400_GSM1198564_mP4_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945397_GSM1198562_mP2_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945398_GSM1198563_mP3_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945399_GSM1198563_mP3_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945402_GSM1198565_mP5_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945401_GSM1198564_mP4_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945407_GSM1198567_mV1_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945403_GSM1198565_mP5_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945406_GSM1198567_mV1_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945405_GSM1198566_mP6_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945408_GSM1198568_mV2_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945404_GSM1198566_mP6_Mus_musculus_RNA-Seq	prefrontal_cortex
SRR945412_GSM1198570_mV4_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945411_GSM1198569_mV3_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945410_GSM1198569_mV3_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945409_GSM1198568_mV2_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945413_GSM1198570_mV4_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945414_GSM1198571_mV5_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945417_GSM1198572_mV6_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945415_GSM1198571_mV5_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945416_GSM1198572_mV6_Mus_musculus_RNA-Seq	primary_visual_cortex
