sample_name	condition
SRR945334_GSM1198531_rP1_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945337_GSM1198532_rP2_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945335_GSM1198531_rP1_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945338_GSM1198533_rP3_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945336_GSM1198532_rP2_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945339_GSM1198533_rP3_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945340_GSM1198534_rP4_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945341_GSM1198534_rP4_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945342_GSM1198535_rP5_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945343_GSM1198535_rP5_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945344_GSM1198536_rP6_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945345_GSM1198536_rP6_Macaca_mulatta_RNA-Seq	prefrontal_cortex
SRR945348_GSM1198538_rV2_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945346_GSM1198537_rV1_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945349_GSM1198538_rV2_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945347_GSM1198537_rV1_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945350_GSM1198539_rV3_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945351_GSM1198539_rV3_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945353_GSM1198540_rV4_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945352_GSM1198540_rV4_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945355_GSM1198541_rV5_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945354_GSM1198541_rV5_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945357_GSM1198542_rV6_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945356_GSM1198542_rV6_Macaca_mulatta_RNA-Seq	primary_visual_cortex
