sample_name	condition
SRR945274_GSM1198501_cP1_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945275_GSM1198501_cP1_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945277_GSM1198502_cP2_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945276_GSM1198502_cP2_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945279_GSM1198503_cP3_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945278_GSM1198503_cP3_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945283_GSM1198505_cP5_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945281_GSM1198504_cP4_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945282_GSM1198505_cP5_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945285_GSM1198506_cP6_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945280_GSM1198504_cP4_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945284_GSM1198506_cP6_Pan_troglodytes_RNA-Seq	prefrontal_cortex
SRR945286_GSM1198507_cV1_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945288_GSM1198508_cV2_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945287_GSM1198507_cV1_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945289_GSM1198508_cV2_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945290_GSM1198509_cV3_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945291_GSM1198509_cV3_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945292_GSM1198510_cV4_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945294_GSM1198511_cV5_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945293_GSM1198510_cV4_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945295_GSM1198511_cV5_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945296_GSM1198512_cV6_Pan_troglodytes_RNA-Seq	primary_visual_cortex
SRR945297_GSM1198512_cV6_Pan_troglodytes_RNA-Seq	primary_visual_cortex
