sample_name	condition
SRR945348_GSM1198538_rV2_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945346_GSM1198537_rV1_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945349_GSM1198538_rV2_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945347_GSM1198537_rV1_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945350_GSM1198539_rV3_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945351_GSM1198539_rV3_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945353_GSM1198540_rV4_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945352_GSM1198540_rV4_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945355_GSM1198541_rV5_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945354_GSM1198541_rV5_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945357_GSM1198542_rV6_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945356_GSM1198542_rV6_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945358_GSM1198543_rC1_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945359_GSM1198543_rC1_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945360_GSM1198544_rC2_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945361_GSM1198544_rC2_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945363_GSM1198545_rC3_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945362_GSM1198545_rC3_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945364_GSM1198546_rC4_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945365_GSM1198546_rC4_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945366_GSM1198547_rC5_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945369_GSM1198548_rC6_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945367_GSM1198547_rC5_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945368_GSM1198548_rC6_Macaca_mulatta_RNA-Seq	cerebellar_cortex
