sample_name	condition
SRR945253_GSM1198490_cM2_Pan_troglodytes_RNA-Seq	muscle
SRR945250_GSM1198489_cM1_Pan_troglodytes_RNA-Seq	muscle
SRR945252_GSM1198490_cM2_Pan_troglodytes_RNA-Seq	muscle
SRR945251_GSM1198489_cM1_Pan_troglodytes_RNA-Seq	muscle
SRR945254_GSM1198491_cM3_Pan_troglodytes_RNA-Seq	muscle
SRR945255_GSM1198491_cM3_Pan_troglodytes_RNA-Seq	muscle
SRR945258_GSM1198493_cM5_Pan_troglodytes_RNA-Seq	muscle
SRR945257_GSM1198492_cM4_Pan_troglodytes_RNA-Seq	muscle
SRR945256_GSM1198492_cM4_Pan_troglodytes_RNA-Seq	muscle
SRR945259_GSM1198493_cM5_Pan_troglodytes_RNA-Seq	muscle
SRR945260_GSM1198494_cM6_Pan_troglodytes_RNA-Seq	muscle
SRR945261_GSM1198494_cM6_Pan_troglodytes_RNA-Seq	muscle
SRR945300_GSM1198514_cC2_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945301_GSM1198514_cC2_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945299_GSM1198513_cC1_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945302_GSM1198515_cC3_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945298_GSM1198513_cC1_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945303_GSM1198515_cC3_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945304_GSM1198516_cC4_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945306_GSM1198517_cC5_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945305_GSM1198516_cC4_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945307_GSM1198517_cC5_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945308_GSM1198518_cC6_Pan_troglodytes_RNA-Seq	cerebellar_cortex
SRR945309_GSM1198518_cC6_Pan_troglodytes_RNA-Seq	cerebellar_cortex
