sample_name	condition
SRR945194_GSM1198461_hM3_Homo_sapiens_RNA-Seq	muscle
SRR945190_GSM1198459_hM1_Homo_sapiens_RNA-Seq	muscle
SRR945192_GSM1198460_hM2_Homo_sapiens_RNA-Seq	muscle
SRR945193_GSM1198460_hM2_Homo_sapiens_RNA-Seq	muscle
SRR945191_GSM1198459_hM1_Homo_sapiens_RNA-Seq	muscle
SRR945195_GSM1198461_hM3_Homo_sapiens_RNA-Seq	muscle
SRR945199_GSM1198463_hM5_Homo_sapiens_RNA-Seq	muscle
SRR945198_GSM1198463_hM5_Homo_sapiens_RNA-Seq	muscle
SRR945196_GSM1198462_hM4_Homo_sapiens_RNA-Seq	muscle
SRR945197_GSM1198462_hM4_Homo_sapiens_RNA-Seq	muscle
SRR945242_GSM1198485_hC3_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945238_GSM1198483_hC1_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945239_GSM1198483_hC1_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945240_GSM1198484_hC2_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945243_GSM1198485_hC3_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945241_GSM1198484_hC2_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945245_GSM1198486_hC4_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945246_GSM1198487_hC5_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945244_GSM1198486_hC4_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945247_GSM1198487_hC5_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945249_GSM1198488_hC6_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945248_GSM1198488_hC6_Homo_sapiens_RNA-Seq	cerebellar_cortex
