sample_name	condition
SRR945370_GSM1198549_mM1_Mus_musculus_RNA-Seq	muscle
SRR945371_GSM1198549_mM1_Mus_musculus_RNA-Seq	muscle
SRR945372_GSM1198550_mM2_Mus_musculus_RNA-Seq	muscle
SRR945373_GSM1198550_mM2_Mus_musculus_RNA-Seq	muscle
SRR945376_GSM1198552_mM4_Mus_musculus_RNA-Seq	muscle
SRR945375_GSM1198551_mM3_Mus_musculus_RNA-Seq	muscle
SRR945374_GSM1198551_mM3_Mus_musculus_RNA-Seq	muscle
SRR945377_GSM1198552_mM4_Mus_musculus_RNA-Seq	muscle
SRR945380_GSM1198554_mM6_Mus_musculus_RNA-Seq	muscle
SRR945381_GSM1198554_mM6_Mus_musculus_RNA-Seq	muscle
SRR945407_GSM1198567_mV1_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945406_GSM1198567_mV1_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945408_GSM1198568_mV2_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945412_GSM1198570_mV4_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945411_GSM1198569_mV3_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945410_GSM1198569_mV3_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945409_GSM1198568_mV2_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945413_GSM1198570_mV4_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945414_GSM1198571_mV5_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945417_GSM1198572_mV6_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945415_GSM1198571_mV5_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945416_GSM1198572_mV6_Mus_musculus_RNA-Seq	primary_visual_cortex
