sample_name	condition
SRR945324_GSM1198526_rK2_Macaca_mulatta_RNA-Seq	kidney
SRR945322_GSM1198525_rK1_Macaca_mulatta_RNA-Seq	kidney
SRR945323_GSM1198525_rK1_Macaca_mulatta_RNA-Seq	kidney
SRR945325_GSM1198526_rK2_Macaca_mulatta_RNA-Seq	kidney
SRR945326_GSM1198527_rK3_Macaca_mulatta_RNA-Seq	kidney
SRR945327_GSM1198527_rK3_Macaca_mulatta_RNA-Seq	kidney
SRR945330_GSM1198529_rK5_Macaca_mulatta_RNA-Seq	kidney
SRR945329_GSM1198528_rK4_Macaca_mulatta_RNA-Seq	kidney
SRR945328_GSM1198528_rK4_Macaca_mulatta_RNA-Seq	kidney
SRR945332_GSM1198530_rK6_Macaca_mulatta_RNA-Seq	kidney
SRR945331_GSM1198529_rK5_Macaca_mulatta_RNA-Seq	kidney
SRR945333_GSM1198530_rK6_Macaca_mulatta_RNA-Seq	kidney
SRR945348_GSM1198538_rV2_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945346_GSM1198537_rV1_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945349_GSM1198538_rV2_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945347_GSM1198537_rV1_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945350_GSM1198539_rV3_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945351_GSM1198539_rV3_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945353_GSM1198540_rV4_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945352_GSM1198540_rV4_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945355_GSM1198541_rV5_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945354_GSM1198541_rV5_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945357_GSM1198542_rV6_Macaca_mulatta_RNA-Seq	primary_visual_cortex
SRR945356_GSM1198542_rV6_Macaca_mulatta_RNA-Seq	primary_visual_cortex
