sample_name	condition
SRR945202_GSM1198465_hK1_Homo_sapiens_RNA-Seq	kidney
SRR945203_GSM1198465_hK1_Homo_sapiens_RNA-Seq	kidney
SRR945205_GSM1198466_hK2_Homo_sapiens_RNA-Seq	kidney
SRR945207_GSM1198467_hK3_Homo_sapiens_RNA-Seq	kidney
SRR945204_GSM1198466_hK2_Homo_sapiens_RNA-Seq	kidney
SRR945206_GSM1198467_hK3_Homo_sapiens_RNA-Seq	kidney
SRR945208_GSM1198468_hK4_Homo_sapiens_RNA-Seq	kidney
SRR945209_GSM1198468_hK4_Homo_sapiens_RNA-Seq	kidney
SRR945212_GSM1198470_hK6_Homo_sapiens_RNA-Seq	kidney
SRR945213_GSM1198470_hK6_Homo_sapiens_RNA-Seq	kidney
SRR945210_GSM1198469_hK5_Homo_sapiens_RNA-Seq	kidney
SRR945211_GSM1198469_hK5_Homo_sapiens_RNA-Seq	kidney
SRR945242_GSM1198485_hC3_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945238_GSM1198483_hC1_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945239_GSM1198483_hC1_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945240_GSM1198484_hC2_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945243_GSM1198485_hC3_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945241_GSM1198484_hC2_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945245_GSM1198486_hC4_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945246_GSM1198487_hC5_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945244_GSM1198486_hC4_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945247_GSM1198487_hC5_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945249_GSM1198488_hC6_Homo_sapiens_RNA-Seq	cerebellar_cortex
SRR945248_GSM1198488_hC6_Homo_sapiens_RNA-Seq	cerebellar_cortex
