sample_name	condition
SRR945407_GSM1198567_mV1_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945406_GSM1198567_mV1_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945408_GSM1198568_mV2_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945412_GSM1198570_mV4_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945411_GSM1198569_mV3_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945410_GSM1198569_mV3_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945409_GSM1198568_mV2_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945413_GSM1198570_mV4_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945414_GSM1198571_mV5_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945418_GSM1198573_mC1_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945417_GSM1198572_mV6_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945415_GSM1198571_mV5_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945416_GSM1198572_mV6_Mus_musculus_RNA-Seq	primary_visual_cortex
SRR945419_GSM1198573_mC1_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945422_GSM1198575_mC3_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945424_GSM1198576_mC4_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945423_GSM1198575_mC3_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945421_GSM1198574_mC2_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945420_GSM1198574_mC2_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945425_GSM1198576_mC4_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945427_GSM1198577_mC5_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945429_GSM1198578_mC6_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945428_GSM1198578_mC6_Mus_musculus_RNA-Seq	cerebellar_cortex
SRR945426_GSM1198577_mC5_Mus_musculus_RNA-Seq	cerebellar_cortex
