sample_name	condition
SRR1038623_GSM1275183_R15_Homo_sapiens_RNA-Seq	wild_type
SRR1038624_GSM1275183_R15_Homo_sapiens_RNA-Seq	wild_type
SRR1038625_GSM1275183_R15_Homo_sapiens_RNA-Seq	wild_type
SRR1038626_GSM1275183_R15_Homo_sapiens_RNA-Seq	wild_type
SRR1038627_GSM1275183_R15_Homo_sapiens_RNA-Seq	wild_type
SRR1038628_GSM1275183_R15_Homo_sapiens_RNA-Seq	wild_type
SRR1038629_GSM1275183_R15_Homo_sapiens_RNA-Seq	wild_type
SRR1038630_GSM1275183_R15_Homo_sapiens_RNA-Seq	wild_type
SRR1038631_GSM1275184_R16_Homo_sapiens_RNA-Seq	DAZAP1_knockdown
SRR1038632_GSM1275184_R16_Homo_sapiens_RNA-Seq	DAZAP1_knockdown
SRR1038633_GSM1275184_R16_Homo_sapiens_RNA-Seq	DAZAP1_knockdown
SRR1038634_GSM1275184_R16_Homo_sapiens_RNA-Seq	DAZAP1_knockdown
SRR1038635_GSM1275184_R16_Homo_sapiens_RNA-Seq	DAZAP1_knockdown
SRR1038636_GSM1275184_R16_Homo_sapiens_RNA-Seq	DAZAP1_knockdown
SRR1038637_GSM1275184_R16_Homo_sapiens_RNA-Seq	DAZAP1_knockdown
SRR1038638_GSM1275184_R16_Homo_sapiens_RNA-Seq	DAZAP1_knockdown
