sample_name	condition
SRR945324_GSM1198526_rK2_Macaca_mulatta_RNA-Seq	kidney
SRR945322_GSM1198525_rK1_Macaca_mulatta_RNA-Seq	kidney
SRR945323_GSM1198525_rK1_Macaca_mulatta_RNA-Seq	kidney
SRR945325_GSM1198526_rK2_Macaca_mulatta_RNA-Seq	kidney
SRR945326_GSM1198527_rK3_Macaca_mulatta_RNA-Seq	kidney
SRR945327_GSM1198527_rK3_Macaca_mulatta_RNA-Seq	kidney
SRR945330_GSM1198529_rK5_Macaca_mulatta_RNA-Seq	kidney
SRR945329_GSM1198528_rK4_Macaca_mulatta_RNA-Seq	kidney
SRR945328_GSM1198528_rK4_Macaca_mulatta_RNA-Seq	kidney
SRR945332_GSM1198530_rK6_Macaca_mulatta_RNA-Seq	kidney
SRR945331_GSM1198529_rK5_Macaca_mulatta_RNA-Seq	kidney
SRR945333_GSM1198530_rK6_Macaca_mulatta_RNA-Seq	kidney
SRR945358_GSM1198543_rC1_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945359_GSM1198543_rC1_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945360_GSM1198544_rC2_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945361_GSM1198544_rC2_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945363_GSM1198545_rC3_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945362_GSM1198545_rC3_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945364_GSM1198546_rC4_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945365_GSM1198546_rC4_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945366_GSM1198547_rC5_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945369_GSM1198548_rC6_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945367_GSM1198547_rC5_Macaca_mulatta_RNA-Seq	cerebellar_cortex
SRR945368_GSM1198548_rC6_Macaca_mulatta_RNA-Seq	cerebellar_cortex
