Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR1823859	GSM1622590: Sample12105 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	6104	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823859/SRR1823859.sra	SRR1823859.sra	SRR1823859_GSM1622590_Sample12105_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/009/SRR1823859/SRR1823859.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/009/SRR1823859/SRR1823859.fastq.gz	SRR1823859.fastq.gz	SRR1823859_GSM1622590_Sample12105_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823858	GSM1622589: Sample12104 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	5509	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823858/SRR1823858.sra	SRR1823858.sra	SRR1823858_GSM1622589_Sample12104_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/008/SRR1823858/SRR1823858.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/008/SRR1823858/SRR1823858.fastq.gz	SRR1823858.fastq.gz	SRR1823858_GSM1622589_Sample12104_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823857	GSM1622588: Sample12101 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	6619	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823857/SRR1823857.sra	SRR1823857.sra	SRR1823857_GSM1622588_Sample12101_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/007/SRR1823857/SRR1823857.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/007/SRR1823857/SRR1823857.fastq.gz	SRR1823857.fastq.gz	SRR1823857_GSM1622588_Sample12101_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823862	GSM1622593: Sample12112 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	6849	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823862/SRR1823862.sra	SRR1823862.sra	SRR1823862_GSM1622593_Sample12112_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/002/SRR1823862/SRR1823862.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/002/SRR1823862/SRR1823862.fastq.gz	SRR1823862.fastq.gz	SRR1823862_GSM1622593_Sample12112_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823860	GSM1622591: Sample12109 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	6928	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823860/SRR1823860.sra	SRR1823860.sra	SRR1823860_GSM1622591_Sample12109_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/000/SRR1823860/SRR1823860.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/000/SRR1823860/SRR1823860.fastq.gz	SRR1823860.fastq.gz	SRR1823860_GSM1622591_Sample12109_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823861	GSM1622592: Sample12110 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	5772	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823861/SRR1823861.sra	SRR1823861.sra	SRR1823861_GSM1622592_Sample12110_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/001/SRR1823861/SRR1823861.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/001/SRR1823861/SRR1823861.fastq.gz	SRR1823861.fastq.gz	SRR1823861_GSM1622592_Sample12110_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823863	GSM1622594: Sample12115 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	5719	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823863/SRR1823863.sra	SRR1823863.sra	SRR1823863_GSM1622594_Sample12115_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/003/SRR1823863/SRR1823863.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/003/SRR1823863/SRR1823863.fastq.gz	SRR1823863.fastq.gz	SRR1823863_GSM1622594_Sample12115_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823865	GSM1622596: Sample12120 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	6711	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823865/SRR1823865.sra	SRR1823865.sra	SRR1823865_GSM1622596_Sample12120_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/005/SRR1823865/SRR1823865.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/005/SRR1823865/SRR1823865.fastq.gz	SRR1823865.fastq.gz	SRR1823865_GSM1622596_Sample12120_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823866	GSM1622597: Sample12121 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	7446	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823866/SRR1823866.sra	SRR1823866.sra	SRR1823866_GSM1622597_Sample12121_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/006/SRR1823866/SRR1823866.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/006/SRR1823866/SRR1823866.fastq.gz	SRR1823866.fastq.gz	SRR1823866_GSM1622597_Sample12121_Control_Homo_sapiens_RNA-Seq.fastq.gz
SRR1823864	GSM1622595: Sample12119 Control; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	7585	1438444800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR182/SRR1823864/SRR1823864.sra	SRR1823864.sra	SRR1823864_GSM1622595_Sample12119_Control_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/004/SRR1823864/SRR1823864.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR182/004/SRR1823864/SRR1823864.fastq.gz	SRR1823864.fastq.gz	SRR1823864_GSM1622595_Sample12119_Control_Homo_sapiens_RNA-Seq.fastq.gz
